Ferguson Fire & Fabrication Price Book    Net Price List
Effective: 2/23/2022    METRO FIRE EQUIPMENT INC
Gemini Trilogie           Abbr     Size                  Description                              Finish     Price Listno               
---------------------------------------------------------------------------------------------------------------------------------------
SBA112,A001JG,HSBAE01,1.5 x 1,"Sway Brace Afcon E 01",Blk,$11.85,09-003-3-01-1-1510
543202,FNWNBGZ1RR8L,FAP,2.5,"FLANGE ACC. PACK 150 LB",Blk,$7.95,10-004-1-01-1-0025
543203,FNWNBGZ1RR8M,FAP,3,"FLANGE ACC. PACK 150 LB",Blk,$9.07,10-004-1-01-1-0030
543204,FNWNBGZ1RR8P,FAP,4,"FLANGE ACC. PACK 150 LB",Blk,$12.76,10-004-1-01-1-0040
543205,FNWNBGZ1RR8S,FAP,5,"FLANGE ACC. PACK 150 LB",Blk,$19.24,10-004-1-01-1-0050
543206,FNWNBGZ1RR8U,FAP,6,"FLANGE ACC. PACK 150 LB",Blk,$23.31,10-004-1-01-1-0060
543208,FNWNBGZ1RR8X,FAP,8,"FLANGE ACC. PACK 150 LB",Blk,$25.17,10-004-1-01-1-0080
,FNWR1FFGAM,,,"3 RR 1/8 FF 150# GSKT",,$2.56,
,FNWR1RGAP,,,"4 RR 1/8 150# RNG GSKT",,$2.09,
,FNWR1RGAU,,,"6 RR 1/8 150# RNG GSKT",,$3.36,
,FNWR1RGAX,,,"8 RR 1/8 150# RNG GSKT",,$5.66,
408060,G4G,E45MD,1,"ELL 45 MI",Glv,$7.10,01-004-3-04-2-0010
408063,G4H,E45MD,1.2,"ELL 45 MI",Glv,$13.27,01-004-3-04-2-0013
408090,G4K,E45MD,2,"ELL 45 MI",Glv,$23.06,01-004-3-04-2-0020
408066,G9G,EMD,1,"ELL MI",Glv,$6.29,01-004-3-02-2-0010
408099,G9K,EMD,2,"ELL MI",Glv,$21.26,01-004-3-02-2-0020
570031,GATRC10,ATRCF,.38 x 120,"All Thread Rod Cad Pltd $/FT, QTY=Length",Blk,$0.66,09-007-2-04-1-04Z0
570032,GATRD10,ATRCF,.5  x 120,"All Thread Rod Cad Pltd $/FT, QTY=Length",Blk,$1.09,09-007-2-04-1-05Z0
570033,GATRE10,ATRCF,.6  x 120,"All Thread Rod Cad Pltd $/FT, QTY=Length",Blk,$1.74,09-007-2-04-1-06Z0
408760,GBHG,BMD,1.2 x 1,"BUSHING, MI, DOM",Glv,$8.62,01-004-9-01-2-1210
,GBPPEA53B10,PI4021B,10,"Imp Sch 40 A53B 21'",Blk,$93.69,12-007-2-03-1-0100
,GBPPEA53BK,PI4021B,2,"Imp Sch 40 A53B 21'",Blk,$8.21,12-007-2-03-1-0020
,GBPPEA53BL,PI4021B,2.5,"Imp Sch 40 A53B 21'",Blk,$13.01,12-007-2-03-1-0025
,GBPPEA53BU,PI4021B,6,"Imp Sch 40 A53B 21'",Blk,$42.20,12-007-2-03-1-0060
,GBPPEA53BX,,,"8 BLK BE A53B S40 ERW SRL PIPE",Blk,$63.52,
,GBPPEA53C,,,"3/8 BLK BE A53A S40 PIPE",Blk,$2.14,
070928,GBPPEA53U,PI4021,6,"Imp Sch 40 A53A 21'",Blk,$37.16,12-007-2-01-1-0060
070904,GBPTCA53D,PI4021TC,.5,"Imp Sch 40 A53A T&C 21'",Blk,$2.26,12-007-2-02-1-0005
070905,GBPTCA53F,PI4021TC,.7,"Imp Sch 40 A53A T&C 21'",Blk,$3.00,12-007-2-02-1-0007
070906,GBPTCA53G,PI4021TC,1,"Imp Sch 40 A53A T&C 21'",Blk,$4.44,12-007-2-02-1-0010
070908,GBPTCA53J,PI4021TC,1.5,"Imp Sch 40 A53A T&C 21'",Blk,$7.20,12-007-2-02-1-0015
,GBRNBK,,,"LF 1/4X2 BRS NIP GBL",Brass,$2.67,
,GBRNBP,,,"LF 1/4X4 BRS NIP GBL",Brass,$4.34,
,GBRNDCL,,,"LF 1/2XCLOSE BRS NIP GBL",Brass,$2.82,
,GBRNDJ,,,"LF 1/2X1-1/2 BRS NIP GBL",Brass,$3.26,
,GBRNDK,,,"LF 1/2X2 BRS NIP GBL",Brass,$3.83,
,GBRNDM,,,"LF 1/2X3 BRS NIP GBL",Brass,$5.35,
,GBRNFCL,,,"LF 3/4XCLOSE BRS NIP GBL",Brass,$4.06,
,GBRNGCL,,,"LF 1XCLOSE BRS NIP GBL",Brass,$5.98,
,GBRNGK,,,"LF 1X2 BRS NIP GBL",Brass,$7.38,
,GBRNHCL,,,"LF 1-1/4XCLOSE BRS NIP GBL",Brass,$9.03,
,GBRNHK,,,"LF 1-1/4X2 BRS NIP GBL",Brass,$10.31,
408816,GCG,CMD,1,"Coupling MI",Glv,$7.65,01-004-0-01-2-0010
,GDM12,,,"3/4HP DROPMASTER 10GAL W/CART *Z",Glv,$5,096.88,
070828,GGPPEA135S10K,PTWI21,2,"Imp Sch 10 A135 21'",Glv,$7.02,12-007-7-01-2-0020
070834,GGPPEA135S10X,PTWI21,8,"Imp Sch 10 A135 21'",Glv,$25.42,12-007-7-01-2-0080
070826,GGPPEA53G,PI4021,1,"Imp Sch 40 A53A 21'",Glv,$3.18,12-007-2-01-2-0010
070827,GGPPEA53H,PI4021,1.2,"Imp Sch 40 A53A 21'",Glv,$4.30,12-007-2-01-2-0013
072068,GGPPEA53J,PI4021,1.5,"Imp Sch 40 A53A 21'",Glv,$5.15,12-007-2-01-2-0015
070829,GGPPEA53K,PI4021,2,"Imp Sch 40 A53A 21'",Glv,$6.86,12-007-2-01-2-0020
078306,GGPPEA53L,PI4021,2.5,"Imp Sch 40 A53A 21'",Glv,$10.88,12-007-2-01-2-0025
078300,GGPPEA53M,PI4021,3,"Imp Sch 40 A53A 21'",Glv,$14.22,12-007-2-01-2-0030
PTIG33,GGPPEA53S10K,PTWIA53,2,"Imp Sch 10 A53A 21'",Glv,$5.64,12-007-7-03-2-0020
PTIG34,GGPPEA53S10L,PTWIA53,2.5,"Imp Sch 10 A53A 21'",Glv,$9.38,12-007-7-03-2-0025
PTIG36,GGPPEA53S10P,PTWIA53,4,"Imp Sch 10 A53A 21'",Glv,$13.27,12-007-7-03-2-0040
078600,GGPPEA53U,PI4021,6,"Imp Sch 40 A53A 21'",Glv,$35.62,12-007-2-01-2-0060
078800,GGPPEA53X,PI4021,8,"Imp Sch 40 A53A 21'",Glv,$53.61,12-007-2-01-2-0080
070804,GGPTCA53D,PI4021TC,.5,"Imp Sch 40 A53A T&C 21'",Glv,$2.40,12-007-2-02-2-0005
070805,GGPTCA53F,PI4021TC,.7,"Imp Sch 40 A53A T&C 21'",Glv,$3.18,12-007-2-02-2-0007
070808,GGPTCA53J,PI4021TC,1.5,"Imp Sch 40 A53A T&C 21'",Glv,$7.64,12-007-2-02-2-0015
070809,GGPTCA53K,PI4021TC,2,"Imp Sch 40 A53A T&C 21'",Glv,$10.27,12-007-2-02-2-0020
534004,GLT900150A,ACTM,900,"TANK MOUNT AIR COMP.",Blk,$1,931.01,21-001-1-01-1-9000
,GME1001,,,"DROPMASTER HITCH MOUNTED CARRIER *Z",Glv,$655.50,
,GOL12516AC,,,"*NLA 1/6HP COMP RSR MNT 1 PH *Z",Glv,$715.38,
,GOL25033AC,,,"*NLA 1/3HP COMP RSR MNT 1 PH OILLES",Glv,$846.36,
,GOL32016ACLP,,,"*NLA 1/6HP COMP RSR MNT 1 PH LP",Glv,$758.56,
534014,GOL36550AC,ACRM,335,"RISER MOUNT AIR COMPRESSOR",Blk,$1,115.53,21-001-2-01-1-3350
,GRBPD20,,,"1/2X20 RED. BRS PIPE",Brass,$12.90,
408165,GRCGF,RCMD,1   x .7,"RED COUP MI DOM",Glv,$8.13,01-004-5-01-2-1007
408197,GRCKH,RCMD,2   x 1.2,"RED COUP MI DOM",Glv,$21.06,01-004-5-01-2-2012
545155,GRFSOFPM,SOFRI,3   x 9,"Slip On Flng Red Imp",Blk,$91.82,08-003-2-02-1-3090
545165,GRFSOFUP,SOFRI,4   x 11,"Slip On Flng Red Imp",Blk,$249.33,08-003-2-02-1-40B0
PSSI03,GSP44LG,PI4SS304,1,"Imp Sch 40 304L SS 20'",SS,$12.47,12-012-2-02-5-0010
PSSI04,GSP44LH,PI4SS304,1.2,"Imp Sch 40 304L SS 20'",SS,$16.35,12-012-2-02-5-0013
,GST7882S12Z2S1,,,"1-5/8X1-5/8X10 12 GALV H/SL STRUT",Glv,$8.48,
408666,GTG,TMD,1,"TEE MI",Glv,$9.55,01-004-1-02-2-0010
408777,GTH,TMD,1.2,"TEE MI",Glv,$15.16,01-004-1-02-2-0013
408766,GTHGG,TRMD,1.2 x 1   x 1,"TEE RED MI",Glv,$21.70,01-004-2-02-2-12AA
408767,GTHGH,TRMD,1.2 x 1   x 1.2,"TEE RED MI",Glv,$22.95,01-004-2-02-2-12AB
408876,GTJHG,TRMD,1.5 x 1.2 x 1,"TEE RED MI",Glv,$26.86,01-004-2-02-2-15BA
408996,GTKKG,TRMD,2   x 2   x 1,"TEE RED MI",Glv,$31.66,01-004-2-02-2-20DA
578313,I12C300HMB2Z,BOLT,.5  x 3,"BOLT HEX",Blk,$0.57,10-001-1-01-1-0530
,I14N100SUWZ,,,"14X1 ZN HEX SELF-TAP TEK SCRW",,$0.31,
578297,I37C200HMB2Z,BOLT,.38 x 2,"BOLT HEX",Blk,$0.61,10-001-1-01-1-0420
578301,I37C300HMB2Z,BOLT,.38 x 3,"BOLT HEX",Blk,$0.17,10-001-1-01-1-0430
578370,I37CNWTZ,NUTW,.38,"WING TOGGLE NUT-ZINC",Blk,$0.31,10-002-2-01-1-0004
578012,I50N250BHL,BOLTL,.5  x 2.5,"LAG BOLT",Blk,$0.36,10-001-3-01-1-0525
420504,IB150UD,UMI,.5,"UNION MI",Blk,$9.17,01-004-8-01-1-0005
420505,IB150UF,UMI,.7,"UNION MI",Blk,$10.92,01-004-8-01-1-0007
420506,IB150UG,UMI,1,"UNION MI",Blk,$14.26,01-004-8-01-1-0010
420507,IB150UH,UMI,1.2,"UNION MI",Blk,$19.89,01-004-8-01-1-0013
420508,IB150UJ,UMI,1.5,"UNION MI",Blk,$24.29,01-004-8-01-1-0015
420509,IB150UK,UMI,2,"UNION MI",Blk,$36.68,01-004-8-01-1-0020
420102,IB9B,EMI,.2,"ELL MI IMP",Blk,$2.77,01-004-3-01-1-0002
420103,IB9C,EMI,.38,"ELL MI IMP",Blk,$2.77,01-004-3-01-1-0004
420104,IB9D,EMI,.5,"ELL MI IMP",Blk,$2.08,01-004-3-01-1-0005
420105,IB9F,EMI,.7,"ELL MI IMP",Blk,$2.51,01-004-3-01-1-0007
420110,IB9L,EMI,2.5,"ELL MI IMP",Blk,$36.70,01-004-3-01-1-0025
,IB9LJ,,,"2-1/2X1-1/2 BLK MI 150# 90 ELL",Blk,$49.70,
421242,IBBDB,BMI,.5  x .2,"BUSHING, MI, IMPORT",Blk,$3.68,01-004-9-02-1-0502
421243,IBBDC,BMI,.5  x .38,"BUSHING, MI, IMPORT",Blk,$3.68,01-004-9-02-1-0504
421254,IBBFD,BMI,.7  x .5,"BUSHING, MI, IMPORT",Blk,$3.35,01-004-9-02-1-0705
421264,IBBGD,BMI,1   x .5,"BUSHING, MI, IMPORT",Blk,$3.46,01-004-9-02-1-1005
421266,IBBJD,BMI,1.5 x .5,"BUSHING, MI, IMPORT",Blk,$5.93,01-004-9-02-1-1505
,IBBJG,,,"1-1/2X1 BLK MI BUSH",Blk,$5.20,
421272,IBBKD,BMI,2   x .5,"BUSHING, MI, IMPORT",Blk,$8.95,01-004-9-02-1-2005
421273,IBBKJ,BMI,2   x 1.5,"BUSHING, MI, IMPORT",Blk,$7.90,01-004-9-02-1-2015
420604,IBCAPD,CAPMI,.5,"CAP MI IMP",Blk,$2.08,01-004-7-02-1-0005
421103,IBCC,CMI,.38,"COUP MI IMP",Blk,$3.46,01-004-0-02-1-0004
421104,IBCD,CMI,.5,"COUP MI IMP",Blk,$2.80,01-004-0-02-1-0005
421105,IBCF,CMI,.7,"COUP MI IMP",Blk,$3.31,01-004-0-02-1-0007
421106,IBCG,CMI,1,"COUP MI IMP",Blk,$5.00,01-004-0-02-1-0010
,IBCRJ,,,"1-1/2 BLK MI 150# CRS",Blk,$31.17,
550072,IBDI4G,E45D,1,"ELL 45 DI",Blk,$2.72,01-002-0-01-1-0010
550073,IBDI4H,E45D,1.2,"ELL 45 DI",Blk,$3.60,01-002-0-01-1-0013
550074,IBDI4J,E45D,1.5,"ELL 45 DI",Blk,$6.01,01-002-0-01-1-0015
550075,IBDI4K,E45D,2,"ELL 45 DI",Blk,$6.94,01-002-0-01-1-0020
550012,IBDI9G,ED,1,"ELL  DI",Blk,$1.81,01-002-3-01-1-0010
550120,IBDI9GD,ERD,1   x .5,"ELL RED DI",Blk,$2.16,01-002-4-01-1-1005
550121,IBDI9GF,ERD,1   x .7,"ELL RED DI",Blk,$2.32,01-002-4-01-1-1007
550013,IBDI9H,ED,1.2,"ELL  DI",Blk,$2.75,01-002-3-01-1-0013
550130,IBDI9HD,ERD,1.2 x .5,"ELL RED DI",Blk,$3.85,01-002-4-01-1-1205
550131,IBDI9HF,ERD,1.2 x .7,"ELL RED DI",Blk,$4.09,01-002-4-01-1-1207
550132,IBDI9HG,ERD,1.2 x 1,"ELL RED DI",Blk,$3.42,01-002-4-01-1-1210
550014,IBDI9J,ED,1.5,"ELL  DI",Blk,$3.97,01-002-3-01-1-0015
550140,IBDI9JD,ERD,1.5 x .5,"ELL RED DI",Blk,$4.76,01-002-4-01-1-1505
550141,IBDI9JF,ERD,1.5 x .7,"ELL RED DI",Blk,$5.32,01-002-4-01-1-1507
550142,IBDI9JG,ERD,1.5 x 1,"ELL RED DI",Blk,$4.76,01-002-4-01-1-1510
550143,IBDI9JH,ERD,1.5 x 1.2,"ELL RED DI",Blk,$4.76,01-002-4-01-1-1512
550015,IBDI9K,ED,2,"ELL  DI",Blk,$6.01,01-002-3-01-1-0020
550150,IBDI9KD,ERD,2   x .5,"ELL RED DI",Blk,$11.13,01-002-4-01-1-2005
550151,IBDI9KF,ERD,2   x .7,"ELL RED DI",Blk,$7.98,01-002-4-01-1-2007
550152,IBDI9KG,ERD,2   x 1,"ELL RED DI",Blk,$7.76,01-002-4-01-1-2010
550157,IBDI9KH,ERD,2   x 1.2,"ELL RED DI",Blk,$10.39,01-002-4-01-1-2012
550154,IBDI9KJ,ERD,2   x 1.5,"ELL RED DI",Blk,$7.76,01-002-4-01-1-2015
559620,IBDIBGD,BDI,1   x .5,"BUSHING DI IMP",Blk,$1.68,01-007-1-03-1-1005
559622,IBDICAPG,CAPD,1,"CAP DI",Blk,$1.89,01-002-8-01-1-0010
559623,IBDICAPH,CAPD,1.2,"CAP DI",Blk,$2.56,01-002-8-01-1-0013
559624,IBDICAPJ,CAPD,1.5,"CAP DI",Blk,$3.42,01-002-8-01-1-0015
559625,IBDICAPK,CAPD,2,"CAP DI",Blk,$4.60,01-002-8-01-1-0020
552302,IBDICG,CD,1,"COUPLING DI",Blk,$1.52,01-002-9-01-1-0010
552303,IBDICH,CD,1.2,"COUPLING DI",Blk,$2.27,01-002-9-01-1-0013
552304,IBDICJ,CD,1.5,"COUPLING DI",Blk,$3.16,01-002-9-01-1-0015
552305,IBDICK,CD,2,"COUPLING DI",Blk,$4.71,01-002-9-01-1-0020
552102,IBDICRG,CCRSD,1   x 1   x 1   x 1,"CROSS DI",Blk,$7.34,01-002-6-01-1-AAAA
552103,IBDICRH,CCRSD,1.2 x 1.2 x 1.2 x 1.2,"CROSS DI",Blk,$10.35,01-002-6-01-1-BBBB
552132,IBDICRHG,CCROD,1.2 x 1.2 x 1   x 1,"CROSS RED DI",Blk,$9.20,01-002-7-01-1-BBAA
552142,IBDICRJG,CCROD,1.5 x 1.5 x 1   x 1,"CROSS RED DI",Blk,$13.39,01-002-7-01-1-CCAA
552152,IBDICRKG,CCROD,2   x 2   x 1   x 1,"CROSS RED DI",Blk,$19.29,01-002-7-01-1-DDAA
PD0005,IBDIPG,PD,1,"PLUG DI",Blk,$0.88,01-007-3-02-1-0010
559320,IBDIRCGD,RCD,1   x .5,"RED COUP DI",Blk,$1.61,01-002-5-01-1-1005
559321,IBDIRCGF,RCD,1   x .7,"RED COUP DI",Blk,$2.14,01-002-5-01-1-1007
559325,IBDIRCHF,RCD,1.2 x .7,"RED COUP DI",Blk,$4.19,01-002-5-01-1-1207
551012,IBDITG,TD,1,"TEE DI",Blk,$2.56,01-002-1-01-1-0010
553202,IBDITGDG,TRD,1   x .5  x 1,"TEE RED DI",Blk,$3.00,01-002-2-01-1-105A
553212,IBDITGFG,TRD,1   x .7  x 1,"TEE RED DI",Blk,$3.57,01-002-2-01-1-107A
553220,IBDITGGD,TRD,1   x 1   x .5,"TEE RED DI",Blk,$2.81,01-002-2-01-1-10A5
553221,IBDITGGF,TRD,1   x 1   x .7,"TEE RED DI",Blk,$3.38,01-002-2-01-1-10A7
553223,IBDITGGH,TRD,1   x 1   x 1.2,"TEE RED DI",Blk,$4.56,01-002-2-01-1-10AB
553224,IBDITGGJ,TRD,1   x 1   x 1.5,"TEE RED DI",Blk,$8.11,01-002-2-01-1-10AC
551013,IBDITH,TD,1.2,"TEE DI",Blk,$4.60,01-002-1-01-1-0013
553320,IBDITHGD,TRD,1.2 x 1   x .5,"TEE RED DI",Blk,$4.56,01-002-2-01-1-12A5
553321,IBDITHGF,TRD,1.2 x 1   x .7,"TEE RED DI",Blk,$5.16,01-002-2-01-1-12A7
553322,IBDITHGG,TRD,1.2 x 1   x 1,"TEE RED DI",Blk,$4.56,01-002-2-01-1-12AA
553323,IBDITHGH,TRD,1.2 x 1   x 1.2,"TEE RED DI",Blk,$4.56,01-002-2-01-1-12AB
553324,IBDITHGJ,TRD,1.2 x 1   x 1.5,"TEE RED DI",Blk,$5.87,01-002-2-01-1-12AC
553330,IBDITHHD,TRD,1.2 x 1.2 x .5,"TEE RED DI",Blk,$4.38,01-002-2-01-1-12B5
553331,IBDITHHF,TRD,1.2 x 1.2 x .7,"TEE RED DI",Blk,$4.91,01-002-2-01-1-12B7
553332,IBDITHHG,TRD,1.2 x 1.2 x 1,"TEE RED DI",Blk,$4.49,01-002-2-01-1-12BA
553334,IBDITHHJ,TRD,1.2 x 1.2 x 1.5,"TEE RED DI",Blk,$8.10,01-002-2-01-1-12BC
553335,IBDITHHK,TRD,1.2 x 1.2 x 2,"TEE RED DI",Blk,$12.24,01-002-2-01-1-12BD
551014,IBDITJ,TD,1.5,"TEE DI",Blk,$5.83,01-002-1-01-1-0015
553420,IBDITJGD,TRD,1.5 x 1   x .5,"TEE RED DI",Blk,$9.17,01-002-2-01-1-15A5
553421,IBDITJGF,TRD,1.5 x 1   x .7,"TEE RED DI",Blk,$8.58,01-002-2-01-1-15A7
553422,IBDITJGG,TRD,1.5 x 1   x 1,"TEE RED DI",Blk,$8.10,01-002-2-01-1-15AA
553423,IBDITJGH,TRD,1.5 x 1   x 1.2,"TEE RED DI",Blk,$10.21,01-002-2-01-1-15AB
553424,IBDITJGJ,TRD,1.5 x 1   x 1.5,"TEE RED DI",Blk,$5.87,01-002-2-01-1-15AC
553430,IBDITJHD,TRD,1.5 x 1.2 x .5,"TEE RED DI",Blk,$6.35,01-002-2-01-1-15B5
553431,IBDITJHF,TRD,1.5 x 1.2 x .7,"TEE RED DI",Blk,$6.35,01-002-2-01-1-15B7
553432,IBDITJHG,TRD,1.5 x 1.2 x 1,"TEE RED DI",Blk,$5.83,01-002-2-01-1-15BA
553434,IBDITJHJ,TRD,1.5 x 1.2 x 1.5,"TEE RED DI",Blk,$6.39,01-002-2-01-1-15BC
553435,IBDITJHK,TRD,1.5 x 1.2 x 2,"TEE RED DI",Blk,$12.24,01-002-2-01-1-15BD
553440,IBDITJJD,TRD,1.5 x 1.5 x .5,"TEE RED DI",Blk,$5.72,01-002-2-01-1-15C5
553441,IBDITJJF,TRD,1.5 x 1.5 x .7,"TEE RED DI",Blk,$6.35,01-002-2-01-1-15C7
553442,IBDITJJG,TRD,1.5 x 1.5 x 1,"TEE RED DI",Blk,$5.72,01-002-2-01-1-15CA
553443,IBDITJJH,TRD,1.5 x 1.5 x 1.2,"TEE RED DI",Blk,$8.16,01-002-2-01-1-15CB
553445,IBDITJJK,TRD,1.5 x 1.5 x 2,"TEE RED DI",Blk,$11.99,01-002-2-01-1-15CD
551015,IBDITK,TD,2,"TEE DI",Blk,$8.23,01-002-1-01-1-0020
553525,IBDITKGK,TRD,2   x 1   x 2,"TEE RED DI",Blk,$8.27,01-002-2-01-1-20AD
553535,IBDITKHK,TRD,2   x 1.2 x 2,"TEE RED DI",Blk,$8.98,01-002-2-01-1-20BD
553540,IBDITKJD,TRD,2   x 1.5 x .5,"TEE RED DI",Blk,$9.39,01-002-2-01-1-20C5
553541,IBDITKJF,TRD,2   x 1.5 x .7,"TEE RED DI",Blk,$9.39,01-002-2-01-1-20C7
553542,IBDITKJG,TRD,2   x 1.5 x 1,"TEE RED DI",Blk,$8.32,01-002-2-01-1-20CA
553543,IBDITKJH,TRD,2   x 1.5 x 1.2,"TEE RED DI",Blk,$12.65,01-002-2-01-1-20CB
553544,IBDITKJJ,TRD,2   x 1.5 x 1.5,"TEE RED DI",Blk,$12.24,01-002-2-01-1-20CC
553545,IBDITKJK,TRD,2   x 1.5 x 2,"TEE RED DI",Blk,$9.39,01-002-2-01-1-20CD
553550,IBDITKKD,TRD,2   x 2   x .5,"TEE RED DI",Blk,$8.27,01-002-2-01-1-20D5
553551,IBDITKKF,TRD,2   x 2   x .7,"TEE RED DI",Blk,$8.27,01-002-2-01-1-20D7
553552,IBDITKKG,TRD,2   x 2   x 1,"TEE RED DI",Blk,$8.27,01-002-2-01-1-20DA
553553,IBDITKKH,TRD,2   x 2   x 1.2,"TEE RED DI",Blk,$8.98,01-002-2-01-1-20DB
553554,IBDITKKJ,TRD,2   x 2   x 1.5,"TEE RED DI",Blk,$9.50,01-002-2-01-1-20DC
421206,IBFFG,FFMI,1,"FLOOR FLANGE, M.I.",Blk,$10.52,03-001-4-01-1-0010
421208,IBFFJ,FFMI,1.5,"FLOOR FLANGE, M.I.",Blk,$12.89,03-001-4-01-1-0015
421209,IBFFK,FFMI,2,"FLOOR FLANGE, M.I.",Blk,$16.81,03-001-4-01-1-0020
,IBGTNLU,,,"2-1/2X6 BLK GRV X THRD NIP",Blk,$14.33,
IBNBCL,IBNBCL,NCLI,.2,"NIPPLE, CLOSE, IMPORT",Blk,$1.40,02-001-1-04-1-0002
NI0220,IBNBK,NIPI,.2  x 2,"NIPPLE IMPORT",Blk,$1.49,02-001-1-03-1-0220
,IBNBL,,,"1/4X2-1/2 BLK STL NIP",Blk,$1.93,
NI0230,IBNBM,NIPI,.2  x 3,"NIPPLE IMPORT",Blk,$1.93,02-001-1-03-1-0230
NI0240,IBNBP,NIPI,.2  x 4,"NIPPLE IMPORT",Blk,$2.24,02-001-1-03-1-0240
NI0260,IBNBU,NIPI,.2  x 6,"NIPPLE IMPORT",Blk,$3.97,02-001-1-03-1-0260
,IBNCCL,,,"3/8XCLOSE BLK STL NIP",Blk,$1.44,
,IBNCM,,,"3/8X3 BLK STL NIP",Blk,$2.10,
,IBNCP,,,"3/8X4 BLK STL NIP",Blk,$2.46,
424000,IBNDCL,NCLI,.5,"NIPPLE, CLOSE, IMPORT",Blk,$1.21,02-001-1-04-1-0005
424001,IBNDJ,NIPI,.5  x 1.5,"NIPPLE IMPORT",Blk,$1.21,02-001-1-03-1-0515
424002,IBNDK,NIPI,.5  x 2,"NIPPLE IMPORT",Blk,$1.21,02-001-1-03-1-0520
424003,IBNDL,NIPI,.5  x 2.5,"NIPPLE IMPORT",Blk,$1.44,02-001-1-03-1-0525
424004,IBNDM,NIPI,.5  x 3,"NIPPLE IMPORT",Blk,$1.44,02-001-1-03-1-0530
424005,IBNDN,NIPI,.5  x 3.5,"NIPPLE IMPORT",Blk,$1.74,02-001-1-03-1-0535
424006,IBNDP,NIPI,.5  x 4,"NIPPLE IMPORT",Blk,$1.74,02-001-1-03-1-0540
424007,IBNDR,NIPI,.5  x 4.5,"NIPPLE IMPORT",Blk,$2.02,02-001-1-03-1-0545
424012,IBNDU,NIPI,.5  x 6,"NIPPLE IMPORT",Blk,$2.26,02-001-1-03-1-0560
425000,IBNFCL,NCLI,.7,"NIPPLE, CLOSE, IMPORT",Blk,$1.41,02-001-1-04-1-0007
425002,IBNFK,NIPI,.7  x 2,"NIPPLE IMPORT",Blk,$1.49,02-001-1-03-1-0720
425006,IBNFP,NIPI,.7  x 4,"NIPPLE IMPORT",Blk,$2.10,02-001-1-03-1-0740
425012,IBNFU,NIPI,.7  x 6,"NIPPLE IMPORT",Blk,$2.97,02-001-1-03-1-0760
426021,IBNG10,NIPI,1   x 10,"NIPPLE IMPORT",Blk,$7.75,02-001-1-03-1-10A0
426022,IBNG11,NIPI,1   x 11,"NIPPLE IMPORT",Blk,$8.90,02-001-1-03-1-10B0
426023,IBNG12,NIPI,1   x 12,"NIPPLE IMPORT",Blk,$8.90,02-001-1-03-1-10C0
NI1075,IBNG712,NIPI,1   x 7.5,"NIPPLE IMPORT",Blk,$6.65,02-001-1-03-1-1075
NI1095,IBNG912,NIPI,1   x 9.5,"NIPPLE IMPORT",Blk,$2.98,02-001-1-03-1-1095
426000,IBNGCL,NCLI,1,"NIPPLE, CLOSE, IMPORT",Blk,$2.02,02-001-1-04-1-0010
426002,IBNGK,NIPI,1   x 2,"NIPPLE IMPORT",Blk,$2.20,02-001-1-03-1-1020
426003,IBNGL,NIPI,1   x 2.5,"NIPPLE IMPORT",Blk,$2.35,02-001-1-03-1-1025
426004,IBNGM,NIPI,1   x 3,"NIPPLE IMPORT",Blk,$2.35,02-001-1-03-1-1030
426005,IBNGN,NIPI,1   x 3.5,"NIPPLE IMPORT",Blk,$2.90,02-001-1-03-1-1035
426006,IBNGP,NIPI,1   x 4,"NIPPLE IMPORT",Blk,$2.90,02-001-1-03-1-1040
426007,IBNGR,NIPI,1   x 4.5,"NIPPLE IMPORT",Blk,$3.45,02-001-1-03-1-1045
426008,IBNGS,NIPI,1   x 5,"NIPPLE IMPORT",Blk,$3.45,02-001-1-03-1-1050
426009,IBNGT,NIPI,1   x 5.5,"NIPPLE IMPORT",Blk,$4.06,02-001-1-03-1-1055
426012,IBNGU,NIPI,1   x 6,"NIPPLE IMPORT",Blk,$4.06,02-001-1-03-1-1060
426014,IBNGW,NIPI,1   x 7,"NIPPLE IMPORT",Blk,$6.65,02-001-1-03-1-1070
426016,IBNGX,NIPI,1   x 8,"NIPPLE IMPORT",Blk,$6.65,02-001-1-03-1-1080
426018,IBNGY,NIPI,1   x 9,"NIPPLE IMPORT",Blk,$7.75,02-001-1-03-1-1090
427000,IBNHCL,NCLI,1.2,"NIPPLE, CLOSE, IMPORT",Blk,$2.56,02-001-1-04-1-0013
427002,IBNHK,NIPI,1.2 x 2,"NIPPLE IMPORT",Blk,$2.90,02-001-1-03-1-1220
427003,IBNHL,NIPI,1.2 x 2.5,"NIPPLE IMPORT",Blk,$3.09,02-001-1-03-1-1225
427004,IBNHM,NIPI,1.2 x 3,"NIPPLE IMPORT",Blk,$3.09,02-001-1-03-1-1230
427005,IBNHN,NIPI,1.2 x 3.5,"NIPPLE IMPORT",Blk,$3.64,02-001-1-03-1-1235
427006,IBNHP,NIPI,1.2 x 4,"NIPPLE IMPORT",Blk,$3.64,02-001-1-03-1-1240
427007,IBNHR,NIPI,1.2 x 4.5,"NIPPLE IMPORT",Blk,$4.36,02-001-1-03-1-1245
427008,IBNHS,NIPI,1.2 x 5,"NIPPLE IMPORT",Blk,$4.36,02-001-1-03-1-1250
427009,IBNHT,NIPI,1.2 x 5.5,"NIPPLE IMPORT",Blk,$5.18,02-001-1-03-1-1255
